id,url,date,content,replyCount,retweetCount,likeCount,quoteCount
1489361682581315590,https://twitter.com/michaeljknowles/status/1489361682581315590,2022-02-03 22:14:30+00:00,"State Dept.: Russia is going to launch a false flag attack as a pretext to invade Ukraine.

Reporter: What's your evidence?

State Dept.: I just gave it to you.

Reporter: No, you made an allegation.

State Dept.: Yes, that's the evidence.

Reporter: 😐

https://t.co/lC1pRxNiso",508,1304,5410,294
1498042517555712002,https://twitter.com/doctor_oxford/status/1498042517555712002,2022-02-27 21:09:03+00:00,"This is @BorisJohnson attending mass at a Ukrainian church in London this evening.

To date there is *still* no simple sanctuary route to the UK for Ukrainian refugees fleeing war.

#StandWithUkraine 🇺🇦🌻 https://t.co/cMOy6Y9ahj",506,1006,4286,200
1495112202596065286,https://twitter.com/kirstiealley/status/1495112202596065286,2022-02-19 19:05:01+00:00,I would like the whole world to pray there is no war between Russia and Ukraine. These positive prayers can move mountains.. start! 🙏🏼🙏🏼🙏🏼,496,1030,10845,82
1496634774399721473,https://twitter.com/KatiePavlich/status/1496634774399721473,2022-02-23 23:55:11+00:00,"Joe Biden helped keep Ukraine out of NATO as Vice President, saying they needed to work on their corruption while his family indulged the corruption and got rich. Now Russia is at the door and will slaughter innocent Ukrainians. How shameful.",496,3126,10691,153
1499506552109158402,https://twitter.com/DmytroKuleba/status/1499506552109158402,2022-03-03 22:06:36+00:00,"When Russians can’t achieve real goals, they focus on fake TV coverage. Having seized a TV tower in Kherson, they plan a show: Russian troops provide humanitarian aid while fake ‘locals’ brought in from Crimea stage a fake ‘demo’ in favor of Kherson region ‘uniting’ with Crimea.",495,5620,17600,248
1500136766665338886,https://twitter.com/SenGaryPeters/status/1500136766665338886,2022-03-05 15:50:51+00:00,Honored to have met virtually with President Zelensky this morning. He’s a true inspiration leading his nation against illegal Russian aggression. The Senate must act swiftly to provide more aid to Ukraine &amp; the Ukrainian people. #StandWithUkraine https://t.co/82SGoFrNpd,495,84,702,21
1481297793650208772,https://twitter.com/disclosetv/status/1481297793650208772,2022-01-12 16:11:29+00:00,"JUST IN - Ukraine: Biden admin has sanctions ""ready to go"" in case Russian ""tanks cross the border."" (CNN)",490,415,2177,199
1499528183535882240,https://twitter.com/SecBlinken/status/1499528183535882240,2022-03-03 23:32:33+00:00,".@StateDept and @USTreasury have taken sweeping actions as part of our response, together with our allies and partners, to Putin's war on Ukraine. These actions make clear that there is nowhere to hide for individuals and entities that support Russia’s aggression.",488,588,2267,56
1495755876422111234,https://twitter.com/DmytroKuleba/status/1495755876422111234,2022-02-21 13:42:45+00:00,"No, Ukraine did NOT:

❌Attack Donetsk or Luhansk
❌Send saboteurs or APCs over the Russian border
❌Shell Russian territory
❌Shell Russian border crossing
❌Conduct acts of sabotage 

Ukraine also does NOT plan any such actions.

Russia, stop your fake-producing factory now.",487,5903,19046,380
1490194945902354435,https://twitter.com/BBCWorld/status/1490194945902354435,2022-02-06 05:25:36+00:00,Ukraine tensions: US sources say Russia 70% ready to invade Ukraine https://t.co/W9n1FBpjII,487,273,993,110
